"255","18","16","PEDRO MARIA UREÑA","7.91547","-72.4408"
"256","18","17","SUCRE","7.86239","-72.0179"
"257","18","18","ANDRES BELLO","7.86012","-72.1755"
"258","18","19","FERNANDEZ FEO","7.53796","-71.9855"
"259","18","20","LIBERTAD","7.81119","-72.3249"
"260","18","21","SAMUEL DARIO MALDONADO","8.45402","-71.8631"
"261","18","22","SEBORUCO","8.14447","-72.0769"
"262","18","23","ANTONIO ROMULO COSTA","8.16541","-72.1752"
"263","18","24","FRANCISCO DE MIRANDA","7.90534","-71.961"
"264","18","25","JOSE MARIA VARGAS","8.03831","-72.0661"
"265","18","26","RAFAEL URDANETA","7.53976","-72.4479"
"266","18","27","SIMON RODRIGUEZ","8.34876","-71.8512"
"267","18","28","TORBES","7.66133","-72.2251"
"268","18","29","SAN JUDAS TADEO","8.26317","-72.046"
"269","19","1","RAFAEL RANGEL","9.36864","-70.7233"
"270","19","2","BOCONO","9.25329","-70.2592"
"271","19","3","CARACHE","9.65384","-70.2815"
"272","19","4","ESCUQUE","9.31967","-70.6635"
"273","19","5","TRUJILLO","9.36106","-70.4421"
"274","19","6","URDANETA","9.13014","-70.5892"
"275","19","7","VALERA","9.25871","-70.6375"
"276","19","8","CANDELARIA","9.61716","-70.4163"
"277","19","9","MIRANDA","9.55234","-70.6673"
"278","19","10","MONTE CARMELO","9.2705","-70.8895"
"279","19","11","MOTATAN","9.4058","-70.6037"
"280","19","12","PAMPAN","9.48362","-70.4424"
"281","19","13","SAN RAFAEL DE CARVAJAL","9.35277","-70.5808"
"282","19","14","SUCRE","9.47909","-70.8182"
"283","19","15","ANDRES BELLO","9.60611","-70.7337"
"284","19","16","BOLIVAR","9.38086","-70.82"
"285","19","17","JOSE FELIPE MARQUEZ CAÑIZALES","9.78178","-70.6321"
"286","19","18","JUAN VICENTE CAMPO ELIAS","9.38811","-70.0772"
"287","19","19","LA CEIBA","9.49825","-70.9977"
"288","19","20","PAMPANITO","9.41428","-70.4978"
"289","20","1","BOLIVAR","10.4635","-68.8812"
"290","20","2","BRUZUAL","10.1904","-68.9082"
"291","20","3","NIRGUA","10.1892","-68.5071"
"292","20","4","SAN FELIPE","10.3727","-68.6993"
"293","20","5","SUCRE","10.2583","-68.8198"
"294","20","6","URACHICHE","10.1609","-69.0045"
"295","20","7","PEÑA","10.0904","-69.1469"
"296","20","8","JOSE ANTONIO PAEZ","10.1161","-69.0301"
"297","20","9","LA TRINIDAD","10.248","-68.7752"
"298","20","10","COCOROTE","10.3102","-68.7755"
"299","20","11","INDEPENDENCIA","10.331","-68.7498"
"300","20","12","ARISTIDES BASTIDAS","10.2446","-68.8506"
"301","20","13","MANUEL MONGE","10.6037","-68.6956"
"302","20","14","VEROES","10.4441","-68.5238"
"303","21","1","BARALT","9.80321","-70.9548"
"304","21","2","SANTA RITA","10.5165","-71.4444"
"305","21","3","COLON","8.92928","-71.8644"
"306","21","4","MARA","10.8031","-71.8236"
"307","21","5","MARACAIBO","10.6625","-71.6501"
"308","21","6","MIRANDA","10.7139","-71.3639"
"309","21","7","GUAJIRA","11.2824","-71.9467"
"310","21","8","MACHIQUES DE PERIJA","9.93521","-72.4832"
"311","21","9","SUCRE","9.14737","-71.1651"
"312","21","10","LA CAÑADA DE URDANETA","10.4098","-71.7872"
"313","21","11","LAGUNILLAS","10.1968","-71.2315"
"314","21","12","CATATUMBO","8.87116","-72.2236"
"315","21","13","ROSARIO DE PERIJA","10.1636","-72.2243"
"316","21","14","CABIMAS","10.3887","-71.4107"
"317","21","15","VALMORE RODRIGUEZ","10.0008","-71.0711"
"318","21","16","JESUS ENRIQUE LOSSADA","10.6379","-71.8842"
"319","21","17","ALMIRANTE PADILLA","10.9707","-71.6352"
"320","21","18","SAN FRANCISCO","10.5543","-71.6561"
"321","21","19","JESUS MARIA SEMPRUM","9.01268","-72.5628"
"322","21","20","FRANCISCO JAVIER PULGAR","8.86538","-71.631"
"323","21","21","SIMON BOLIVAR","10.2909","-71.3355"
"324","22","1","ATURES","5.69801","-67.5527"
"325","22","2","ATABAPO","3.96488","-67.4464"
"326","22","3","MAROA","2.67358","-67.4429"
"327","22","4","RIO NEGRO","1.27518","-50.2018"
"328","22","5","AUTANA","4.97947","-67.7688"
"329","22","6","MANAPIARE","4.89478","-66.0346"
"330","22","7","ALTO ORINOCO","2.44609","-52.3848"
"331","23","1","TUCUPITA","9.03837","-62.0367"
"332","23","2","PEDERNALES","9.72812","-62.1921"
"333","23","3","ANTONIO DIAZ","8.77281","-61.0683"
"334","23","4","CASACOIMA","8.48083","-62.3002"
"335","24","1","VARGAS","10.5883","-66.909"
